domain;domain_ascore;backlinks_num
yahoo.com;100;4208
beehiiv.com;52;2771
topai.tools;39;2770
oregongrassfed.com;2;2607
mossai.org;6;2115
vectortemplates.com;29;1503
pampermenetwork.com;14;1408
aitools.love;2;1290
thebeforelist.com;2;1262
security-portal.cz;19;1099
eesel.ai;46;1010
airadar.live;2;965
aitoolsspace.com;2;959
postmake.io;23;863
chatbotsforum.org;2;768
helloleads.co.uk;2;657
aitoolnet.com;13;616
navgood.com;2;595
saaspo.com;30;554
aivoov.com;25;549
seektool.ai;6;542
sipoch.com;2;524
aitinkerers.org;31;499
theautomateddaily.com;5;481
aitoolly.com;24;469
