Keyword;Search Volume;Keyword Difficulty Index;CPC;Competition
gemini google;246000;100;1.17;0.27
gemin;60500;100;1.19;0.16
directv customer service;49500;60;1.08;0.09
agent;33100;85;3.26;0.01
ai agents;33100;92;10.11;0.59
gemini ia;33100;100;1.17;0.28
gmini;27100;100;1.19;0.16
gémini;27100;100;1.19;0.16
geminis ia;22200;100;0.57;0.23
ia gemini;22200;100;1.19;0.16
ai agent;18100;77;10.11;0.59
genimi;18100;100;1.19;0.16
agentic ai definition;14800;81;2.54;0.67
gamini;14800;100;1.19;0.16
relevance;14800;71;2.88;0.01
agents;9900;96;3.26;0.01
gemini chat;9900;76;0.3;0.25
google ai gemini;9900;100;1.33;0.36
sierra ai;9900;57;8.29;0.75
what is an ai agent;9900;89;3.72;0.54
