Keyword;Search Volume;Keyword Difficulty Index;CPC;Competition
zoominfo login;27100;57;10.21;0.02
applio;22200;37;3.68;0.03
appoley;22200;92;0.36;0.71
apollo io;12100;62;11.22;0.66
apollo.io;12100;69;11.22;0.66
apolo;12100;64;9.45;0.07
a p o l;9900;25;3.51;0.08
apollo ai;9900;60;8.09;0.66
appolo;9900;99;3.51;0.08
appollo;8100;99;3.51;0.08
阿波罗;6600;68;0;0
apol;5400;41;3.51;0.08
apollo login;4400;39;0.21;0.09
apollo.io login;4400;47;3.66;0.25
appolo.io;4400;57;11.22;0.66
apollo.io chrome extension;3600;37;5.74;0.3
apollo.io news;3600;25;10.82;0.1
apollo.io pricing;3600;40;10.76;0.61
salesforce ai;3600;83;7.61;0.36
ai lead generation;2900;68;14.64;0.53
