Keyword;Search Volume;Keyword Difficulty Index;CPC;Competition
power automate;74000;71;3.38;0.05
tray;18100;32;0.54;1
automate;12100;87;5.56;0.09
powerautomate;9900;64;3.38;0.05
business process automation;6600;55;16.1;0.24
process automation;5400;40;12.91;0.21
zapier login;5400;33;4.93;0.25
workflow automation software;3600;60;20.98;0.1
what is trayed;2900;34;0;0
workflow automation tools;2900;59;18.2;0.16
2 mate.com;2400;18;1.29;0
ai automation news;2400;31;3.84;0.19
ai automation tools;2400;67;7.36;0.31
automation automation;2400;78;5.56;0.09
automation tools;2400;55;9.41;0.36
business process automation software;1900;48;34.66;0.03
business process automation tools;1600;29;15.31;0.06
make automation;1600;50;4.51;0.46
trae.ia;1600;68;12.04;0.23
autm;1300;52;17;0.04
