Keyword;Search Volume;Keyword Difficulty Index;CPC;Competition
n8n workflows;4400;51;3.21;0.53
sales automation software;1300;42;19.22;0.03
n8n deals;1000;23;0;0
n8n template;1000;41;4.75;0.14
what is sales automation;1000;42;9.73;0.03
sales automation tools;880;47;28.77;0.29
ai sales automation;590;63;15.03;0.3
n8n ai automation workflows: 2000;590;29;0;0
n8n sales;590;31;9.74;0.03
tools to automate sales workflow;590;33;0;0
n8n promotions;480;10;0;0
pega sales automation;480;16;13.02;0.2
sales process automation;480;31;19.92;0.35
automation in sales;390;42;15.27;0.26
sales automation crm;390;41;29.81;0.02
n8n examples;320;50;1.68;0.12
sales automation ai;320;100;15.03;0.3
sales automation in crm;320;23;0;0.04
sales automation software solutions;320;31;0;0.86
sales automation softwares;320;28;19.22;0.03
