Keyword;Search Volume;CPC;Competition;Number of Results;Trends
ai automation;8100;9.37;0.56;124;0.44,0.54,0.66,0.66,1.00,1.00,0.81,0.66,1.00,1.00,1.00,1.00
ai automation agency;1900;7.82;0.43;142000000;0.36,0.28,0.28,0.28,0.36,0.36,0.36,0.43,0.36,0.28,1.00,0.28
ai automation services;1300;8.85;0.17;0;0.31,0.37,0.52,0.68,0.84,1.00,0.84,0.84,1.00,1.00,1.00,1.00
ai automation for business;170;19.01;0.47;0;0.80,0.42,1.00,0.65,0.80,0.80,0.53,0.26,0.53,1.00,0.80,0.80
ai automation consultant;480;12.61;0.43;0;0.13,0.13,0.24,0.30,1.00,0.36,0.36,0.36,0.45,0.45,0.55,0.36
ai agency;8100;10.11;0.59;3020000000;0.81,0.13,0.13,0.16,0.24,0.16,0.13,0.66,0.44,0.81,0.66,0.44
ai agents;33100;10.11;0.59;2450000000;0.81,0.54,0.66,0.54,0.66,0.54,0.44,0.54,0.44,0.54,0.54,0.66
ai agents for business;720;15.52;0.4;0;0.20,0.36,0.55,0.36,1.00,0.67,0.67,0.67,0.36,0.76,0.76,0.76
ai sales agents;880;17.56;0.7;145;0.36,0.30,0.24,0.45,0.81,0.62,0.62,0.62,0.81,1.00,1.00,0.45
ai workflow automation;2900;12.03;0.57;141000000;0.19,0.19,0.28,0.28,0.54,0.54,0.54,0.54,0.66,0.81,1.00,0.54
business process automation;6600;16.1;0.24;271000000;0.66,0.66,0.81,1.00,1.00,0.66,0.66,1.00,0.66,0.81,0.66,0.81
workflow automation;18100;15.13;0.42;148000000;0.02,0.02,0.02,0.02,0.06,0.02,0.20,0.03,0.11,0.24,0.54,1.00
growth systems;20;0.88;1;0;0.20,0.60,0.00,0.20,0.80,0.60,0.00,0.00,1.00,0.20,0.20,0.20
growth infrastructure;20;0;0.33;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
growth marketing agency;2900;6.09;0.01;270000000;0.19,0.15,0.19,0.19,0.29,0.29,0.29,0.23,0.29,0.23,0.23,0.15
ai lead generation;2900;14.64;0.53;484000000;0.28,0.36,0.43,0.43,0.54,0.54,0.43,0.43,0.54,0.43,0.54,0.54
b2b lead generation;8100;21.03;0.23;69900000;0.66,0.44,0.44,1.00,0.66,0.54,0.44,0.44,0.54,0.54,0.66,0.44
lead generation agency;5400;13.66;0.04;156;0.54,0.54,0.66,0.66,1.00,0.66,0.54,0.54,0.66,0.54,1.00,0.54
ai for sales;2400;9.77;0.58;2330000000;0.36,0.44,0.66,0.66,0.80,0.80,0.66,0.80,1.00,0.80,0.80,0.80
llm automation;30;3.82;0.29;109;0.28,0.28,0.28,0.28,0.57,0.28,0.57,0.28,0.28,0.28,1.00,0.42
llm for business;40;7.41;0.43;0;0.18,0.18,0.18,0.18,0.18,0.81,1.00,0.18,0.18,0.18,0.63,0.18
llm agents;1300;4.1;0.26;80700000;0.66,0.41,0.54,0.41,0.66,0.66,0.41,0.54,0.66,0.30,0.36,0.54
generative ai for business;1000;7.38;0.31;0;0.36,0.55,0.62,0.30,1.00,1.00,0.62,0.81,0.81,1.00,0.81,0.45
ai customer service;5400;28.07;0.38;1830000000;0.23,0.36,0.44,0.44,1.00,0.54,0.44,0.44,0.54,0.54,0.66,0.44
ai chatbot for business;880;11.26;0.11;1980000000;0.02,0.05,0.13,0.10,0.08,0.08,0.05,0.16,0.07,0.04,0.05,0.10
marketing automation;18100;10.93;0.33;282000000;0.66,0.66,0.81,0.81,0.81,0.66,0.66,0.81,0.81,1.00,0.81,0.66
sales automation;2900;15.27;0.26;137;0.54,0.54,0.65,0.81,1.00,0.81,0.65,0.54,0.81,0.81,0.81,0.65
ai consulting;6600;9.2;0.38;473000000;0.44,0.44,0.54,0.54,1.00,0.66,0.54,0.66,0.44,0.54,0.54,0.54
enterprise ai;4400;14.91;0.61;822000000;0.43,0.66,0.66,0.66,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81
ai integration services;1300;12.67;0.06;433000000;0.24,0.30,0.41,0.41,0.66,0.79,0.66,0.54,0.79,1.00,1.00,1.00
