Keyword;Search Volume;Keyword Difficulty Index;CPC;Competition
ai agency;8100;71;10.11;0.59
ai automation;8100;78;9.37;0.56
framer ai;4400;54;5.78;0.62
ai framer;1600;58;5.78;0.62
ai automation services;1300;28;8.85;0.17
artificial intelligence automation agency;1000;13;7.82;0.43
ai business automation;880;29;17.16;0.25
liam ottley;880;34;0;0
morningside ai;880;45;5.75;0.34
xtract;880;58;58.01;0
ai automation agency search volume 2025;590;39;0;0
aitract;590;51;0.83;0.04
agency hub;480;18;8.81;0.02
automation agency;480;20;5.92;0.44
ai agency fast track;320;8;0;0
ai automation agencies;320;26;7.82;0.43
ai agencies;260;38;14.6;0.65
business automation agency;260;12;8.22;0.59
