Domain;Url;Position
www.cookmate.online;https://www.cookmate.online/;1
cookmate.food;https://cookmate.food/;2
play.google.com;https://play.google.com/store/apps/details?id=fr.cookbook&hl=en_US;3
apps.apple.com;https://apps.apple.com/il/app/cookmate-my-recipe-organizer/id1587685734;4
cookmate.blog;https://cookmate.blog/;5
www.youtube.com;https://www.youtube.com/@cookmate3240;6
www.amazon.com;https://www.amazon.com/Maadinfo-Services-My-CookBook/dp/B007R63QUG;7
www.facebook.com;https://www.facebook.com/CookmateApp/;8
play.google.com;https://play.google.com/store/apps/details?id=com.cookbook.rescpies;9
cookmate.blog;https://cookmate.blog/category/documentation/;10
cookbook.andro.io;https://cookbook.andro.io/;11
mycookbook.zendesk.com;https://mycookbook.zendesk.com/hc/en-us;12
x.com;https://x.com/cookmate_app;13
my-cookbook.en.aptoide.com;https://my-cookbook.en.aptoide.com/app;14
www.cookmate.ca;https://www.cookmate.ca/;15
